name,volume,wall_thickness,manifold,positive_volume,no_intersections,thick_walls
/data/csc4801/KedzioraLab/thingiverse/beds/stls/GH_Scaler_Trailer_-_Utility_Bed/GHST_UB_FrameRight.stl,,0.03359491611048322,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Anet_A8_Chain_Bed_Protector/Anet_A8_Chain_Bed_Protector_v2.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Ender_3_Fan_Cover_w-_Bed_Leveling_Reminder/Fan_Guard_Fins_BL.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Prusa_MK2_Camera_Bed_Mount/MK2CameraOnly.stl,,0.02908721872547739,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Bed_Levelling_X/X.stl,,0.10116401098776637,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Bed_Level_&_Filament_Speed_Test/Bed_Level_test_Speed_Print_Test_1.stl,,0.16028640133288002,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Handcuffs_Complete_Single_Bed_Print/Chained_Main_Plates.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Handcuffs_Complete_Single_Bed_Print/Flex_Pin.stl,,0.15638554340674443,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Handcuffs_Complete_Single_Bed_Print/Top_Plate_Simplified.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Doll_Bed_-_Ultimate_Barbie_Bed_with_4_Drawers/drawer-front.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Doll_Bed_-_Ultimate_Barbie_Bed_with_4_Drawers/headboard.stl,,2.661670542805982e-05,False,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/CR-10_-_Ender3_DTI__holder_for_bed_alignment/dial_indicator_holder_v2.stl,,0.10994370817169223,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Anet_A8_Prusa_i3_bed_leveling_knob/BedLevelingWheel.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Configurable_bed_or_bunk_bed/Bed_paw.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Configurable_bed_or_bunk_bed/Bed_heart.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Configurable_bed_or_bunk_bed/Bed.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Configurable_bed_or_bunk_bed/Bed_legs.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Configurable_bed_or_bunk_bed/Bed_knobs.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Ender_3_Bed_Handle/Bed_Handle_V2.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Printrbot_Simple_Metal_RPi_Camera_Bed_Mount/caseBack.stl,,0.17761330696428648,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Printrbot_Simple_Metal_RPi_Camera_Bed_Mount/arm_reinforced.stl,,0.04662778320190666,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Sleeping_Corgi_in_Bed/hotpot_in_bed.stl,,0.0923763814302257,False,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/100MM_bed_-_full_sized_(195mm)_glider_The_Super_Stratos_D-100/stratos_d100_Tail.stl,,0.12246408338907809,True,True,True,False
